Suburb,Address,Rooms,Propertycount,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Type
0,11082,1,4019.0,300000.0,1,23,736245,2.5,53,1.0,1.0,1.0,0.0,91.0,1895.0,32,-37.8008,144.9973,2,1
0,9174,2,4019.0,700000.0,4,106,736280,2.5,53,2.0,2.0,1.0,0.0,132.5,1952.5,32,-37.811,145.0067,2,1
0,2125,2,4019.0,750000.0,1,23,736280,2.5,53,2.0,2.0,1.0,0.0,94.0,2009.0,32,-37.8078,144.9965,2,1
0,11881,1,4019.0,441000.0,3,85,736098,2.5,53,1.0,1.0,1.0,0.0,96.0,1929.6666666666667,32,-37.8016,144.9988,2,1
0,2530,3,4019.0,1090000.0,1,106,736406,2.5,53,3.0,2.0,2.0,4290.0,27.0,1990.0,32,-37.8078,144.9965,2,1
0,11073,2,4019.0,500000.0,1,49,736133,2.5,53,2.0,1.0,1.0,0.0,60.0,1970.0,32,-37.8015,144.9972,2,1
0,10064,1,4019.0,426000.0,3,85,736198,2.5,53,1.0,1.0,1.0,0.0,129.5,1956.0,32,-37.8016,144.9988,2,1
0,1791,1,4019.0,457000.0,1,106,736198,2.5,53,1.0,1.0,1.0,0.0,50.0,1966.0,32,-37.8078,144.9965,2,1
0,1633,1,4019.0,470000.0,1,155,736171,2.5,53,1.0,1.0,1.0,0.0,50.0,2013.0,32,-37.8055,144.9961,2,1
2,4761,2,3464.0,500000.0,4,16,736392,13.5,32,2.0,1.0,1.0,168.0,86.0,2011.0,21,-37.7215,144.8864,6,1
2,7023,2,3464.0,515000.0,1,16,736275,13.5,32,2.0,1.0,1.0,141.0,73.0,2013.0,21,-37.7298,144.8883,6,1
2,4852,2,3464.0,530000.0,1,155,736217,13.5,32,2.0,1.0,1.0,120.0,94.0,2012.0,21,-37.7234,144.8792,6,1
2,706,3,3464.0,752000.0,1,155,736371,13.5,32,3.0,1.0,1.0,265.0,130.0,1993.0,21,-37.7302,144.8855,6,1
2,2821,2,3464.0,440000.0,1,16,736189,13.5,32,2.0,1.0,1.0,192.0,131.0,1998.3333333333333,21,-37.7177,144.8787,6,1
2,8896,2,3464.0,462500.0,1,16,736161,13.5,32,2.0,1.0,1.0,164.0,108.66666666666667,2003.0,21,-37.7218,144.8863,6,1
2,4413,2,3464.0,510000.0,1,155,736198,13.5,32,2.0,1.0,1.0,141.0,76.0,1975.0,21,-37.7202,144.8797,6,1
4,1121,2,3280.0,647000.0,1,85,736106,3.3,164,2.0,1.0,1.0,0.0,188.5,1905.0,26,-37.846,144.9542,5,1
4,2434,1,3280.0,442500.0,1,135,736385,3.3,164,1.0,1.0,0.0,0.0,34.0,1970.0,26,-37.8421,144.9517,5,1
6,7022,2,2211.0,525500.0,1,146,736280,6.4,62,2.0,1.0,1.0,88.0,60.0,1960.0,6,-37.7791,145.0306,2,1
6,4776,2,2211.0,465000.0,1,140,736280,6.4,62,2.0,1.0,1.0,0.0,134.4,1997.2,6,-37.7773,145.0314,2,1
