Suburb,Address,Rooms,Propertycount,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Type
0,12794,2,4019.0,1480000.0,1,23,736301,2.5,53,2.0,1.0,1.0,202.0,79.0,1900.0,32,-37.7996,144.9984,2,1
0,5943,2,4019.0,1035000.0,1,23,735998,2.5,53,2.0,1.0,0.0,156.0,79.0,1900.0,32,-37.8079,144.9934,2,1
0,9814,3,4019.0,1465000.0,3,23,736392,2.5,53,3.0,2.0,0.0,134.0,150.0,1900.0,32,-37.8093,144.9944,2,1
0,9004,3,4019.0,850000.0,0,23,736392,2.5,53,3.0,2.0,1.0,94.0,146.0,1957.0,32,-37.7969,144.9969,2,1
0,10589,4,4019.0,1600000.0,4,155,736119,2.5,53,3.0,1.0,2.0,120.0,142.0,2014.0,32,-37.8072,144.9941,2,1
0,2195,2,4019.0,941000.0,1,106,736091,2.5,53,2.0,1.0,0.0,181.0,176.0,1962.0,32,-37.8041,144.9953,2,1
0,2142,3,4019.0,1876000.0,1,155,736091,2.5,53,4.0,2.0,0.0,245.0,210.0,1910.0,32,-37.8024,144.9993,2,1
0,13335,2,4019.0,1636000.0,1,155,736245,2.5,53,2.0,1.0,2.0,256.0,107.0,1890.0,32,-37.806,144.9954,2,1
0,1090,2,4019.0,1097000.0,1,23,736245,2.5,53,3.0,1.0,2.0,220.0,75.0,1900.0,32,-37.801,144.9989,2,1
0,9029,3,4019.0,1350000.0,4,155,736280,2.5,53,3.0,2.0,2.0,214.0,190.0,2005.0,32,-37.8085,144.9964,2,1
0,9482,2,4019.0,1172500.0,1,23,736189,2.5,53,2.0,1.0,1.0,195.0,95.0,1969.3333333333333,32,-37.8084,144.9973,2,1
0,3286,2,4019.0,1310000.0,1,106,736252,2.5,53,2.0,1.0,2.0,238.0,97.0,1890.0,32,-37.809,144.9976,2,1
0,9211,3,4019.0,1200000.0,1,106,736161,2.5,53,3.0,2.0,1.0,113.0,110.0,1880.0,32,-37.8056,144.993,2,1
0,12273,3,4019.0,1176500.0,1,117,736161,2.5,53,2.0,1.0,1.0,138.0,105.0,1890.0,32,-37.8021,144.9965,2,1
0,4017,3,4019.0,955000.0,1,49,736224,2.5,53,3.0,1.0,0.0,183.0,89.0,1937.5,32,-37.8022,144.9975,2,1
0,9250,2,4019.0,890000.0,1,23,736224,2.5,53,2.0,1.0,1.0,150.0,73.0,1985.0,32,-37.8011,145.0004,2,1
0,7273,4,4019.0,1330000.0,0,111,736406,2.5,53,4.0,2.0,2.0,780.0,135.0,1900.0,32,-37.8073,144.9952,2,1
0,10411,2,4019.0,1100000.0,0,23,736133,2.5,53,2.0,2.0,1.0,124.0,135.0,2013.0,32,-37.8079,144.9977,2,1
0,9728,2,4019.0,1315000.0,1,135,736287,2.5,53,2.0,1.0,0.0,147.0,85.0,1900.0,32,-37.808,144.994,2,1
0,9621,3,4019.0,1447500.0,0,155,736198,2.5,53,3.0,3.0,1.0,166.0,174.0,2012.0,32,-37.8017,145.0001,2,1
0,3125,2,4019.0,1135000.0,1,155,736198,2.5,53,2.0,2.0,2.0,98.0,128.0,1920.0,32,-37.8005,144.9952,2,1
0,7564,4,4019.0,1542000.0,1,49,736231,2.5,53,4.0,3.0,1.0,0.0,73.0,1930.0,32,-37.7994,144.9965,2,1
0,3364,3,4019.0,1290000.0,1,23,736385,2.5,53,3.0,2.0,2.0,147.0,18.0,1940.0,32,-37.805,144.9943,2,1
0,11237,3,4019.0,1290000.0,1,23,736385,2.5,53,3.0,1.0,1.0,168.0,124.0,1950.0,32,-37.8007,144.9958,2,1
0,9594,2,4019.0,1180000.0,1,106,736295,2.5,53,2.0,1.0,0.0,162.0,91.0,1900.0,32,-37.8016,144.9956,2,1
0,9484,3,4019.0,1195000.0,3,106,736295,2.5,53,3.0,2.0,1.0,120.0,128.0,1998.0,32,-37.8022,144.9954,2,1
0,5127,2,4019.0,1012500.0,1,155,736112,2.5,53,2.0,1.0,0.0,182.0,82.0,1900.0,32,-37.8021,144.9976,2,1
0,6240,2,4019.0,1030000.0,1,23,736175,2.5,53,2.0,1.0,1.0,172.0,81.0,1930.0,32,-37.8086,144.9946,2,1
2,10215,3,3464.0,730000.0,4,155,736301,13.5,32,3.0,2.0,1.0,0.0,145.0,1965.0,21,-37.7203,144.8755,6,1
2,10215,3,3464.0,770000.0,3,155,736392,13.5,32,3.0,2.0,1.0,0.0,145.0,1965.0,21,-37.7203,144.8755,6,1
2,5661,2,3464.0,603000.0,1,155,736392,13.5,32,2.0,1.0,1.0,272.0,84.0,1950.0,21,-37.7294,144.888,6,1
2,650,3,3464.0,600000.0,1,133,736392,13.5,32,2.0,1.0,1.0,290.0,116.0,1980.0,21,-37.7273,144.8744,6,1
2,10502,3,3464.0,720000.0,1,16,736182,13.5,32,2.0,1.0,1.0,620.0,106.5,2000.6666666666667,21,-37.7173,144.8872,6,1
2,8072,4,3464.0,785000.0,1,53,736182,13.5,32,3.0,1.0,2.0,597.0,127.0,1990.3333333333333,21,-37.7259,144.8792,6,1
2,1504,6,3464.0,725000.0,3,16,736091,13.5,32,6.0,3.0,2.0,976.0,186.0,1980.0,21,-37.7239,144.8735,6,1
2,6708,3,3464.0,895000.0,0,204,736217,13.5,32,3.0,1.0,6.0,1063.0,133.0,1975.0,21,-37.7249,144.8728,6,1
2,2273,3,3464.0,805000.0,1,155,736308,13.5,32,3.0,1.0,1.0,0.0,105.0,1950.0,21,-37.7217,144.8783,6,1
2,5902,5,3464.0,755000.0,0,186,736098,13.5,32,3.0,2.0,2.0,596.0,132.0,2003.6666666666667,21,-37.7248,144.8699,6,1
2,3804,3,3464.0,830000.0,1,16,736070,13.5,32,3.0,1.0,2.0,971.0,113.0,1960.0,21,-37.7186,144.876,6,1
2,9294,3,3464.0,670000.0,3,16,736161,13.5,32,3.0,2.0,2.0,657.0,104.33333333333333,1989.0,21,-37.7269,144.8742,6,1
2,3601,2,3464.0,675000.0,1,16,736161,13.5,32,2.0,1.0,1.0,612.0,100.0,1975.0,21,-37.7187,144.8765,6,1
2,2529,3,3464.0,1042000.0,1,155,736161,13.5,32,3.0,2.0,5.0,612.0,174.0,1950.0,21,-37.7173,144.8796,6,1
2,12158,3,3464.0,910000.0,1,139,736224,13.5,32,3.0,1.0,1.0,775.0,241.5,1965.0,21,-37.7231,144.8835,6,1
2,10887,4,3464.0,773000.0,1,28,736224,13.5,32,5.0,3.0,4.0,531.0,309.0,1980.0,21,-37.7263,144.8679,6,1
2,9615,3,3464.0,810000.0,0,16,736406,13.5,32,3.0,3.0,2.0,555.0,192.0,1980.0,21,-37.7285,144.8694,6,1
2,2811,3,3464.0,715000.0,1,204,736406,13.5,32,3.0,2.0,2.0,422.0,126.0,1995.0,21,-37.7164,144.8792,6,1
2,1333,3,3464.0,790000.0,1,155,736406,13.5,32,3.0,1.0,3.0,614.0,113.5,2002.5,21,-37.7194,144.8827,6,1
2,1004,3,3464.0,685000.0,1,16,736106,13.5,32,3.0,1.0,1.0,579.0,113.0,1975.0,21,-37.7226,144.8733,6,1
2,1687,3,3464.0,805000.0,1,16,736198,13.5,32,3.0,1.0,1.0,623.0,94.5,1975.0,21,-37.7184,144.882,6,1
2,1323,3,3464.0,612000.0,1,155,736198,13.5,32,3.0,2.0,1.0,212.0,87.66666666666667,1975.0,21,-37.7181,144.8824,6,1
2,1803,3,3464.0,662000.0,1,28,736077,13.5,32,3.0,1.0,2.0,612.0,99.33333333333333,1975.0,21,-37.7169,144.8815,6,1
2,7894,4,3464.0,978000.0,1,155,736231,13.5,32,4.0,3.0,2.0,532.0,111.0,1975.0,21,-37.7263,144.869,6,1
2,7780,3,3464.0,720000.0,0,155,736385,13.5,32,3.0,1.0,1.0,585.0,122.66666666666666,1975.0,21,-37.72,144.878,6,1
2,9732,4,3464.0,765000.0,1,184,736295,13.5,32,4.0,1.0,2.0,509.0,134.33333333333331,1975.0,21,-37.7261,144.8785,6,1
2,12790,4,3464.0,900000.0,1,90,736295,13.5,32,4.0,2.0,3.0,628.0,146.0,1975.0,21,-37.7256,144.8739,6,1
4,1305,2,3280.0,1275000.0,1,260,736210,3.3,164,2.0,1.0,0.0,120.0,82.0,1900.0,26,-37.8459,144.9555,5,1
4,12789,2,3280.0,1455000.0,1,227,736210,3.3,164,2.0,1.0,0.0,159.0,140.0,1895.0,26,-37.845,144.9538,5,1
4,1726,3,3280.0,2850000.0,0,32,736392,3.3,164,3.0,2.0,0.0,211.0,198.0,1890.0,26,-37.8481,144.9499,5,1
4,13261,3,3280.0,1850000.0,1,85,736392,3.3,164,3.0,2.0,0.0,128.0,133.0,1890.0,26,-37.8452,144.9488,5,1
4,8386,2,3280.0,1436000.0,1,192,736392,3.3,164,2.0,1.0,0.0,130.0,81.0,1900.0,26,-37.8431,144.9565,5,1
4,12155,2,3280.0,1110000.0,1,135,736182,3.3,164,1.0,1.0,0.0,147.0,114.0,1900.0,26,-37.8444,144.9484,5,1
4,10484,2,3280.0,1550000.0,1,219,736091,3.3,164,2.0,1.0,1.0,167.0,147.0,1890.0,26,-37.8405,144.9521,5,1
4,1286,4,3280.0,2300000.0,1,135,736091,3.3,164,4.0,2.0,1.0,153.0,180.0,1880.0,26,-37.8447,144.9523,5,1
4,151,3,3280.0,1800000.0,4,85,736275,3.3,164,3.0,2.0,1.0,132.0,159.0,1996.0,26,-37.8415,144.952,5,1
4,6504,2,3280.0,2120000.0,1,85,736217,3.3,164,2.0,1.0,1.0,199.0,107.0,1900.0,26,-37.8422,144.9554,5,1
4,6750,3,3280.0,1800000.0,4,41,736217,3.3,164,3.0,1.0,1.0,253.0,114.5,1900.0,26,-37.8443,144.9579,5,1
4,5821,3,3280.0,1800000.0,1,135,736217,3.3,164,3.0,2.0,1.0,90.0,122.0,1900.0,26,-37.8421,144.9571,5,1
4,9360,2,3280.0,1810000.0,0,85,736308,3.3,164,2.0,1.0,0.0,240.0,151.5,1890.0,26,-37.8379,144.9539,5,1
4,4149,3,3280.0,2615000.0,1,41,736308,3.3,164,3.0,2.0,1.0,177.0,181.0,1880.0,26,-37.8415,144.9585,5,1
4,5645,5,3280.0,2100000.0,1,85,736308,3.3,164,5.0,2.0,1.0,237.0,149.0,1920.0,26,-37.8436,144.9557,5,1
4,7552,3,3280.0,1300000.0,1,260,736308,3.3,164,3.0,1.0,0.0,129.0,117.0,1960.0,26,-37.8422,144.94899999999996,5,1
4,9755,3,3280.0,1370000.0,1,85,736127,3.3,164,3.0,2.0,2.0,0.0,85.0,2000.0,26,-37.8451,144.9511,5,1
4,11200,2,3280.0,1000000.0,1,41,736280,3.3,164,2.0,1.0,0.0,288.0,89.33333333333333,1963.3333333333333,26,-37.8407,144.9523,5,1
